2#和3#反应器运行数据（输入数据相同）,,,,,,,,,,2#反应器,,,,,,,,,,,,,3#反应器,,,,,,,,,,,,,
时间,系统输入（进水指标）,,,,,,,,,系统输出（出水指标）,,,,影响因素,,,,,时间,系统输入（进水指标）,,,,,,,,,系统输出（出水指标）,,,,影响因素,,,
,进水主参数,,,,,影响因素（进水的其他指标）,,,,主参数,,,,反应器内,,当地气温,,,,进水主参数,,,,,影响因素（进水的其他指标）,,,,主参数,,,,反应器内,,当地气温,
07/08/2015,11.54 ,15120,2214,5.21 ,0.0229 ,6.48 ,38 ,342,708,,731,66.98 ,78,6.96,38,26,22,,07/08/2015,13.19 ,17280,2214,5.96 ,0.0262 ,6.48,38,342,708,,772,65.13 ,78 ,7.16,38,26,22
08/08/2015,13.84 ,15600,2572,5.38 ,0.0274 ,6.52 ,39 ,396,804,,792,69.21 ,72,6.93,39,28,24,,08/08/2015,15.33 ,17280,2572,5.96 ,0.0304 ,6.52,39,396,804,,813,68.39 ,90 ,7.12,39,28,24
09/08/2015,17.41 ,19200,2629,6.62 ,0.0404 ,6.55 ,39 ,457,798,,880,66.53 ,90,6.92,39,32,23,,09/08/2015,17.41 ,19200,2629,6.62 ,0.0404 ,6.55,39,457,798,,1016,61.35 ,90 ,7.12,39,32,23
10/08/2015,13.76 ,16080,2482,5.54 ,0.0366 ,6.61 ,38 ,243,930,,861,65.31 ,72,7.01,38,31,22,,10/08/2015,15.61 ,18240,2482,6.29 ,0.0415 ,6.61,38,243,930,,888,64.22 ,102 ,7.14,38,31,22
11/08/2015,12.30 ,16080,2219,5.54 ,0.0355 ,6.55 ,38 ,327,876,,753,66.07 ,42,7.15,37.1,30,20,,11/08/2015,13.77 ,18000,2219,6.21 ,0.0397 ,6.55,38,327,876,,821,63.00 ,90 ,7.29,37,30,20
12/08/2015,15.03 ,18240,2390,6.29 ,0.0409 ,6.58 ,38 ,368,876,,837,64.98 ,54,7.07,38.2,32,22,,12/08/2015,15.23 ,18480,2390,6.37 ,0.0414 ,6.58,38,368,876,,801,66.49 ,54 ,7.21,38,32,22
13/08/2015,15.25 ,17040,2596,5.88 ,0.0488 ,6.56 ,39 ,578,846,,825,68.22 ,54,7.01,39,35,21,,13/08/2015,16.97 ,18960,2596,6.54 ,0.0543 ,6.56,39,578,846,,825,68.22 ,84 ,7.2,39,35,21
14/08/2015,14.38 ,16800,2482,5.79 ,0.0434 ,6.66 ,39 ,687,900,,849,65.79 ,60,7.2,39.8,33,22,,14/08/2015,16.43 ,19200,2482,6.62 ,0.0497 ,6.66,39,687,900,,896,63.90 ,90 ,7.32,39.8,33,22
15/08/2015,13.44 ,15360,2538,5.30 ,0.0371 ,6.55 ,39 ,644,894,,797,68.60 ,102,7.17,38,29,21,,15/08/2015,14.91 ,17040,2538,5.88 ,0.0411 ,6.55,39,644,894,,912,64.07 ,114 ,7.38,38,29,21
16/08/2015,13.69 ,15120,2625,5.21 ,0.0308 ,6.45 ,38 ,521,846,,797,69.64 ,60,7,38,32,22,,16/08/2015,15.21 ,16800,2625,5.79 ,0.0342 ,6.45,38,521,846,,916,65.10 ,90 ,7.13,38,32,22
17/08/2015,14.80 ,15840,2709,5.46 ,0.0360 ,6.57 ,38 ,761,918,,888,67.22 ,36,6.91,40,32,22,,17/08/2015,16.37 ,17520,2709,6.04 ,0.0399 ,6.57,38,761,918,,1044,61.46 ,84 ,7.09,40,32,22
18/08/2015,12.25 ,12960,2741,4.47 ,0.0438 ,6.65 ,38 ,741,888,,916,66.58 ,48,7.01,40,32,21,,18/08/2015,14.06 ,14880,2741,5.13 ,0.0503 ,6.65,38,741,888,,952,65.27 ,54 ,7.22,39.9,32,21
19/08/2015,12.57 ,15120,2410,5.21 ,0.0375 ,6.59 ,39 ,654,816,,857,64.44 ,42,6.91,38,30,21,,19/08/2015,13.96 ,16800,2410,5.79 ,0.0417 ,6.59,39,654,816,,753,68.76 ,90 ,7.03,38,30,21
20/08/2015,13.93 ,16560,2439,5.71 ,0.0423 ,6.57 ,38 ,519,840,,903,62.98 ,48,7.1,38,30,20,,20/08/2015,14.33 ,17040,2439,5.88 ,0.0435 ,6.57,38,519,840,,903,62.98 ,36 ,7.28,38,30,20
21/08/2015,13.41 ,17760,2189,6.12 ,0.0404 ,6.67 ,38 ,514,930,,730,66.65 ,66,7.18,39.8,32,19,,21/08/2015,14.49 ,19200,2189,6.62 ,0.0437 ,6.67,38,514,930,,851,61.12 ,84 ,7.29,39.5,32,19
22/08/2015,14.53 ,16800,2508,5.79 ,0.0498 ,6.62 ,38 ,697,804,,943,62.40 ,72,6.87,39.5,33,21,,22/08/2015,15.77 ,18240,2508,6.29 ,0.0541 ,6.62,38,697,804,,1008,59.81 ,84 ,7.1,39.5,33,21
23/08/2015,13.28 ,16560,2326,5.71 ,0.0423 ,6.55 ,39 ,440,720,,931,59.97 ,30,6.92,38.5,31,19,,23/08/2015,14.63 ,18240,2326,6.29 ,0.0465 ,6.55,38.5,440,720,,915,60.66 ,54 ,7.14,38.4,31,19
24/08/2015,10.81 ,14400,2177,4.97 ,0.0506 ,6.67 ,38 ,604,720,,835,61.64 ,24,7.05,38.5,29,19,,24/08/2015,12.61 ,16800,2177,5.79 ,0.0591 ,6.67,38,604,720,,855,60.73 ,36 ,7.2,38,29,19
25/08/2015,11.39 ,15120,2185,5.21 ,0.0501 ,6.65 ,39 ,629,696,,774,64.58 ,0,7.16,39,27,20,,25/08/2015,13.20 ,17520,2185,6.04 ,0.0580 ,6.65,39,629,696,,851,61.05 ,36 ,7.53,39,27,20
26/08/2015,10.91 ,16080,1968,5.54 ,0.0477 ,6.60 ,38 ,1023,702,,766,61.08 ,54,7.03,39.5,27,20,,26/08/2015,12.87 ,18960,1968,6.54 ,0.0562 ,6.6,38.15,1023,702,,778,60.47 ,42 ,7.26,38.9,27,20
27/08/2015,8.18 ,14400,1648,4.97 ,0.0497 ,6.64 ,39 ,2040,648,,742,54.98 ,24,6.94,39,28,18,,27/08/2015,9.82 ,17280,1648,5.96 ,0.0596 ,6.64,39,2040,648,,758,54.00 ,54 ,7.18,38.9,28,18
28/08/2015,11.56 ,14640,2290,5.05 ,0.0480 ,6.68 ,39 ,1277,696,,839,63.36 ,42,7.01,38.9,30,19,,28/08/2015,14.02 ,17760,2290,6.12 ,0.0582 ,6.68,39,1277,696,,839,63.36 ,30 ,7.19,39,30,19
29/08/2015,12.41 ,14400,2500,4.97 ,0.0343 ,6.44 ,39 ,928,852,,887,64.52 ,18,6.9,39,30,18,,29/08/2015,15.31 ,17760,2500,6.12 ,0.0423 ,6.44,39,928,852,,903,63.88 ,12 ,7.16,38.9,30,18
30/08/2015,10.45 ,14400,2105,4.97 ,0.0487 ,6.67 ,38 ,728,900,,685,67.46 ,36,7.07,38.2,30,20,,30/08/2015,12.72 ,17520,2105,6.04 ,0.0592 ,6.67,38.4,728,900,,734,65.13 ,54 ,7.24,38,30,20
31/08/2015,12.15 ,13440,2621,4.63 ,0.0301 ,6.53 ,38 ,573,870,,871,66.77 ,48,7.03,39.5,29,20,,31/08/2015,15.18 ,16800,2621,5.79 ,0.0377 ,6.53,38,573,870,,891,66.01 ,36 ,7.2,39.8,29,20
01/09/2015,12.00 ,14880,2339,5.13 ,0.0328 ,6.60 ,38 ,764,876,,843,63.96 ,54,7.09,39,25,18,,01/09/2015,15.10 ,18720,2339,6.46 ,0.0413 ,6.6,38,764,876,,883,62.25 ,42 ,7.23,37.5,25,18
02/09/2015,14.14 ,15600,2629,5.38 ,0.0516 ,6.54 ,38 ,746,792,,901,65.73 ,60,7.06,39.1,25,18,,02/09/2015,16.97 ,18720,2629,6.46 ,0.0620 ,6.54,38,746,792,,942,64.17 ,78 ,7.24,39,25,18
03/09/2015,12.63 ,15840,2313,5.46 ,0.0579 ,6.63 ,38 ,670,762,,823,64.42 ,48,7.23,39.7,30,19,,03/09/2015,14.74 ,18480,2313,6.37 ,0.0675 ,6.63,38,670,762,,946,59.10 ,90 ,7.32,39,30,19
04/09/2015,12.39 ,15600,2304,5.38 ,0.0559 ,6.64 ,38 ,751,732,,819,64.45 ,54,7.12,39.8,29,19,,04/09/2015,14.30 ,18000,2304,6.21 ,0.0646 ,6.64,38,751,732,,885,61.59 ,78 ,7.35,39,29,19
05/09/2015,12.23 ,15120,2346,5.21 ,0.0490 ,6.34 ,38 ,926,792,,893,61.94 ,54,7.02,39.5,26,18,,05/09/2015,15.34 ,18960,2346,6.54 ,0.0615 ,6.34,38,926,792,,938,60.02 ,66 ,7.2,38.5,26,18
06/09/2015,12.88 ,14880,2510,5.13 ,0.0528 ,6.65 ,39 ,653,822,,844,66.37 ,60,7.29,39.5,25,16,,06/09/2015,16.20 ,18720,2510,6.46 ,0.0665 ,6.65,39,653,822,,885,64.74 ,72 ,7.47,39,25,16
07/09/2015,11.61 ,14640,2300,5.05 ,0.0485 ,6.66 ,39 ,460,768,,839,63.52 ,54,7.11,38.5,28,18,,07/09/2015,15.04 ,18960,2300,6.54 ,0.0628 ,6.6639,39,460,768,,926,59.74 ,54 ,7.31,38,28,18
08/09/2015,14.59 ,16800,2518,5.79 ,0.0620 ,6.39 ,39 ,472,840,,942,62.59 ,60,7.09,38.2,29,17,,08/09/2015,14.59 ,16800,2518,5.79 ,0.0620 ,6.39,39,472,840,,955,62.07 ,90 ,7.27,38,29,17
09/09/2015,11.16 ,14400,2247,4.97 ,0.0427 ,6.62 ,38 ,898,720,,839,62.66 ,66,7.13,38,28,18,,09/09/2015,11.16 ,14400,2247,4.97 ,0.0427 ,6.62,38,898,720,,934,58.43 ,72 ,7.27,37.5,28,18
10/09/2015,12.61 ,16800,2177,5.79 ,0.0550 ,6.47 ,39 ,588,720,,901,58.61 ,90,7.17,38.5,25,18,,10/09/2015,12.61 ,16800,2177,5.79 ,0.0550 ,6.47,39,588,720,,942,56.73 ,66 ,7.37,38,25,18
11/09/2015,13.38 ,16800,2309,5.79 ,0.0545 ,6.58 ,38 ,596,744,,860,62.75 ,78,7.19,37.5,22,15,,11/09/2015,13.38 ,16800,2309,5.79 ,0.0545 ,6.58,38,596,744,,946,59.03 ,96 ,7.29,37,22,15
12/09/2015,10.54 ,16800,1819,5.79 ,0.0377 ,6.54 ,38 ,382,660,,724,60.20 ,90,7.34,37.5,22,12,,12/09/2015,10.54 ,16800,1819,5.79 ,0.0377 ,6.54,38,382,660,,732,59.76 ,90 ,7.39,37,22,12
13/09/2015,12.41 ,16560,2173,5.71 ,0.0263 ,6.43 ,38 ,543,762,,720,66.87 ,60,7.29,38,27,13,,13/09/2015,12.23 ,16320,2173,5.63 ,0.0259 ,6.43,38,543,762,,893,58.90 ,84 ,7.34,37,27,13
14/09/2015,15.07 ,18000,2428,6.21 ,0.0608 ,6.61 ,39 ,244,780,,1025,57.78 ,78,7.18,39,26,14,,14/09/2015,15.07 ,18000,2428,6.21 ,0.0608 ,6.61,39,244,780,,905,62.73 ,132 ,7.39,38.5,26,14
15/09/2015,15.20 ,17280,2551,5.96 ,0.0548 ,6.55 ,39 ,358,852,,741,70.95 ,84,7.16,39,26,15,,15/09/2015,14.36 ,16320,2551,5.63 ,0.0518 ,6.55,39,358,852,,951,62.72 ,102 ,7.36,38.5,26,15
16/09/2015,14.47 ,16800,2498,5.79 ,0.0666 ,6.46 ,39 ,509,804,,712,71.50 ,54,7.2,39.5,27,15,,16/09/2015,13.64 ,15840,2498,5.46 ,0.0628 ,6.46,39,509,804,,786,68.53 ,54 ,7.11,38.5,27,15
17/09/2015,14.47 ,17280,2428,5.96 ,0.0489 ,6.48 ,39 ,349,780,,864,64.42 ,66,7.06,39.5,28,17,,17/09/2015,13.86 ,16560,2428,5.71 ,0.0468 ,6.48,39,349,780,,1012,58.32 ,126 ,7.26,38.8,28,17
18/09/2015,11.35 ,14400,2286,4.97 ,0.0382 ,6.64 ,39 ,356,738,,979,57.17 ,72,7.01,40,26,17,,18/09/2015,11.35 ,14400,2286,4.97 ,0.0382 ,6.64,39,356,738,,915,59.97 ,96 ,7.38,39,26,17
19/09/2015,14.36 ,16080,2590,5.54 ,0.0510 ,6.59 ,38 ,393,852,,907,64.98 ,60,7.16,39.5,27,15,,19/09/2015,13.50 ,15120,2590,5.21 ,0.0480 ,6.59,38,393,852,,928,64.17 ,72 ,7.4,39,27,15
20/09/2015,14.91 ,16800,2573,5.79 ,0.0446 ,6.65 ,39 ,143,954,,886,65.57 ,102,7.16,39.5,29,14,,20/09/2015,13.84 ,15600,2573,5.38 ,0.0414 ,6.65,38.5,143,954,,928,63.93 ,108 ,7.39,38,29,14
21/09/2015,15.71 ,17280,2636,5.96 ,0.0536 ,6.69 ,39 ,280,840,,1055,59.98 ,78,7.26,39.5,29,17,,21/09/2015,14.83 ,16320,2636,5.63 ,0.0506 ,6.69,39,280,840,,991,62.41 ,78 ,7.33,39,29,17
22/09/2015,14.27 ,17520,2362,6.04 ,0.0459 ,6.62 ,38 ,358,966,,844,64.27 ,108,7.26,39.5,27,18,,22/09/2015,13.29 ,16320,2362,5.63 ,0.0428 ,6.62,38,358,966,,890,62.32 ,72 ,7.42,39,27,18
23/09/2015,13.68 ,16080,2468,5.54 ,0.0305 ,6.25 ,39 ,277,726,,865,64.95 ,54,7.17,39,28,20,,23/09/2015,12.87 ,15120,2468,5.21 ,0.0287 ,6.25,39,277,726,,852,65.48 ,72 ,7.34,39,28,20
24/09/2015,16.16 ,17280,2712,5.96 ,0.0590 ,6.54 ,39 ,167,786,,966,64.38 ,48,7.05,39,28,18,,24/09/2015,15.26 ,16320,2712,5.63 ,0.0557 ,6.54,39,167,786,,960,64.60 ,54 ,7.18,38.5,28,18
25/09/2015,15.73 ,17520,2603,6.04 ,0.0610 ,6.55 ,39 ,199,774,,966,62.89 ,78,7.22,38.5,27,16,,25/09/2015,14.43 ,16080,2603,5.54 ,0.0560 ,6.55,39,199,774,,890,65.81 ,66 ,7.33,37,27,16
26/09/2015,14.30 ,16800,2468,5.79 ,0.0452 ,6.44 ,39 ,216,768,,877,64.47 ,54,7.14,39.5,28,11,,26/09/2015,13.07 ,15360,2468,5.30 ,0.0413 ,6.44,39,216,768,,747,69.73 ,90 ,7.3,38.5,28,11
27/09/2015,12.35 ,13920,2573,4.80 ,0.0566 ,6.43 ,38 ,396,636,,924,64.09 ,60,7.2,38.5,29,16,,27/09/2015,11.50 ,12960,2573,4.47 ,0.0527 ,6.43,38,396,636,,928,63.93 ,60 ,7.27,38,29,16
28/09/2015,13.04 ,15600,2425,5.38 ,0.0500 ,6.89 ,38 ,279,810,,839,65.40 ,54,7.02,38.5,27,15,,28/09/2015,12.04 ,14400,2425,4.97 ,0.0462 ,6.89,38,279,810,,876,63.88 ,54 ,7.56,38.5,27,15
29/09/2015,13.16 ,15600,2446,5.38 ,0.0586 ,6.59 ,39 ,188,768,,936,61.73 ,66,7.04,38,25,15,,29/09/2015,12.15 ,14400,2446,4.97 ,0.0541 ,6.59,39,188,768,,886,63.78 ,36 ,7.23,37,25,15
30/09/2015,15.04 ,17520,2489,6.04 ,0.0568 ,6.50 ,39 ,373,792,,848,65.93 ,90,7.02,38.5,25,18,,30/09/2015,13.80 ,16080,2489,5.54 ,0.0521 ,6.5,39,373,792,,957,61.55 ,66 ,7.2,38,25,18
01/10/2015,14.70 ,14880,2864,5.13 ,0.0508 ,6.57 ,38 ,744,936,,1092,61.87 ,54,7.07,39,20,10,,01/10/2015,13.75 ,13920,2864,4.80 ,0.0475 ,6.57,38,744,936,,1114,61.10 ,66 ,7.35,38,20,10
02/10/2015,9.65 ,12000,2333,4.14 ,0.0513 ,6.47 ,37 ,568,816,,775,66.78 ,54,7.31,38,27,12,,02/10/2015,10.23 ,12720,2333,4.39 ,0.0544 ,6.47,37,568,816,,779,66.61 ,84 ,7.5,37,27,12
03/10/2015,12.78 ,17520,2116,6.04 ,0.0622 ,6.65 ,37 ,242,810,,738,65.12 ,42,7.28,36,27,16,,03/10/2015,11.91 ,16320,2116,5.63 ,0.0580 ,6.65,37,242,810,,861,59.31 ,90 ,7.7,36,27,16
04/10/2015,12.51 ,17520,2071,6.04 ,0.0683 ,6.65 ,39 ,346,780,,791,61.81 ,54,7.33,39,27,15,,04/10/2015,11.14 ,15600,2071,5.38 ,0.0608 ,6.65,39,346,780,,759,63.35 ,84 ,7.56,38,27,15
05/10/2015,11.83 ,17760,1931,6.12 ,0.0674 ,6.64 ,39 ,263,858,,882,54.32 ,66,7.2,39.8,28,15,,05/10/2015,10.55 ,15840,1931,5.46 ,0.0601 ,6.64,39,263,858,,869,55.00 ,78 ,7.4,38,28,15
06/10/2015,14.36 ,17760,2345,6.12 ,0.0668 ,6.59 ,39 ,226,780,,820,65.03 ,36,7.05,39,28,17,,06/10/2015,13.00 ,16080,2345,5.54 ,0.0604 ,6.59,39,226,780,,943,59.79 ,72 ,7.23,38.7,28,17
07/10/2015,13.91 ,17760,2271,6.12 ,0.0600 ,6.54 ,38 ,218,786,,836,63.19 ,60,7,39.5,25,15,,07/10/2015,12.59 ,16080,2271,5.54 ,0.0543 ,6.54,38,218,786,,914,59.75 ,66 ,7.17,39,25,15
08/10/2015,13.15 ,16320,2337,5.63 ,0.0580 ,6.63 ,39 ,238,804,,906,61.23 ,102,7.08,38.5,21,8,,08/10/2015,12.57 ,15600,2337,5.38 ,0.0554 ,6.63,39,238,804,,898,61.57 ,84 ,7.33,38,21,8
09/10/2015,12.25 ,16320,2177,5.63 ,0.0585 ,6.55 ,38 ,221,840,,886,59.30 ,90,7.12,37.6,23,6,,09/10/2015,11.17 ,14880,2177,5.13 ,0.0534 ,6.55,38,221,840,,886,59.30 ,66 ,7.25,37.2,23,6
10/10/2015,13.41 ,17280,2251,5.96 ,0.0590 ,6.64 ,38 ,341,876,,857,61.93 ,36,7.36,38,17,8,,10/10/2015,12.67 ,16320,2251,5.63 ,0.0557 ,6.64,38,341,876,,820,63.57 ,72 ,7.37,37,17,8
11/10/2015,14.48 ,18000,2333,6.21 ,0.0397 ,6.52 ,37 ,332,1158,,890,61.85 ,96,7.12,38,19,10,,11/10/2015,13.52 ,16800,2333,5.79 ,0.0371 ,6.52,37,332,1158,,869,62.75 ,108 ,7.32,37,19,10
12/10/2015,13.25 ,17520,2194,6.04 ,0.0574 ,6.60 ,38 ,231,858,,861,60.76 ,66,7.03,37.5,22,6,,12/10/2015,12.17 ,16080,2194,5.54 ,0.0527 ,6.6,37.5,231,858,,861,60.76 ,78 ,7.22,36.5,22,6
13/10/2015,14.85 ,16800,2563,5.79 ,0.0539 ,6.64 ,37 ,92,912,,882,65.59 ,90,7.11,39,26,10,,13/10/2015,13.79 ,15600,2563,5.38 ,0.0500 ,6.64,36.9,92,912,,882,65.59 ,72 ,7.22,38.5,26,10
14/10/2015,15.73 ,17520,2604,6.04 ,0.0671 ,6.64 ,38 ,317,924,,902,65.36 ,84,7.14,39,27,12,,14/10/2015,14.44 ,16080,2604,5.54 ,0.0615 ,6.64,38,317,924,,923,64.55 ,66 ,7.26,38.5,27,12
15/10/2015,14.96 ,17520,2476,6.04 ,0.0562 ,6.60 ,39 ,299,978,,959,61.27 ,84,7.33,39.8,26,10,,15/10/2015,13.73 ,16080,2476,5.54 ,0.0516 ,6.6,39,299,978,,882,64.38 ,72 ,7.52,39,26,10
16/10/2015,14.59 ,17760,2383,6.12 ,0.0570 ,6.62 ,39 ,327,948,,894,62.48 ,96,7.28,39,27,11,,16/10/2015,13.02 ,15840,2383,5.46 ,0.0508 ,6.62,39,327,948,,828,65.25 ,102 ,7.38,38.5,27,11
17/10/2015,13.66 ,17520,2261,6.04 ,0.0610 ,6.63 ,39 ,415,822,,899,60.24 ,72,7.3,38.5,28,14,,17/10/2015,12.35 ,15840,2261,5.46 ,0.0552 ,6.63,39,415,822,,849,62.45 ,78 ,7.46,37.8,28,14
18/10/2015,14.41 ,16800,2488,5.79 ,0.0371 ,6.74 ,38 ,560,1086,,832,66.56 ,42,7.23,39,23,9,,18/10/2015,14.41 ,16800,2488,5.79 ,0.0371 ,6.74,37.9,560,1086,,849,65.88 ,66 ,7.39,38.5,23,9
19/10/2015,8.50 ,12480,1975,4.30 ,0.0525 ,6.65 ,39 ,370,780,,790,60.00 ,60,7.18,38.2,26,12,,19/10/2015,9.81 ,14400,1975,4.97 ,0.0606 ,6.65,38.7,370,780,,828,58.08 ,66 ,7.35,38,26,12
20/10/2015,8.42 ,13200,1849,4.55 ,0.0505 ,6.63 ,38 ,349,678,,811,56.14 ,36,7.25,39,26,13,,20/10/2015,9.18 ,14400,1849,4.97 ,0.0551 ,6.63,38.2,349,678,,786,57.49 ,30 ,7.44,38,26,13
21/10/2015,9.35 ,15360,1765,5.30 ,0.0625 ,6.67 ,39 ,379,672,,723,59.04 ,60,7.45,38,25,12,,21/10/2015,10.22 ,16800,1765,5.79 ,0.0684 ,6.67,38.6,379,672,,723,59.04 ,42 ,7.52,37,25,12
22/10/2015,11.11 ,16320,1975,5.63 ,0.0535 ,6.64 ,39 ,471,750,,721,63.49 ,66,7.33,39,23,12,,22/10/2015,12.42 ,18240,1975,6.29 ,0.0598 ,6.64,38.5,471,750,,756,61.72 ,84 ,7.55,38.5,23,12
23/10/2015,8.82 ,13680,1870,4.72 ,0.0481 ,6.55 ,39 ,464,708,,765,59.09 ,36,7.32,39,23,14,,23/10/2015,11.14 ,17280,1870,5.96 ,0.0608 ,6.55,39,464,708,,735,60.70 ,72 ,7.51,37.5,23,14
24/10/2015,12.05 ,15120,2311,5.21 ,0.0459 ,6.43 ,39 ,505,960,,840,63.65 ,48,7.09,39,21,11,,24/10/2015,12.81 ,16080,2311,5.54 ,0.0488 ,6.43,39,505,960,,773,66.55 ,48 ,7.33,37.5,21,11
25/10/2015,10.66 ,14400,2147,4.97 ,0.0511 ,6.64 ,38 ,281,828,,756,64.79 ,84,7.15,38,17,12,,25/10/2015,11.73 ,15840,2147,5.46 ,0.0563 ,6.64,37.7,281,828,,819,61.85 ,78 ,7.25,34,17,12
26/10/2015,10.12 ,14400,2038,4.97 ,0.0497 ,6.63 ,37 ,333,900,,874,57.11 ,30,7.19,37,16,6,,26/10/2015,11.13 ,15840,2038,5.46 ,0.0546 ,6.63,37,333,900,,773,62.07 ,48 ,7.39,36.8,16,6
27/10/2015,9.84 ,11760,2427,4.06 ,0.0523 ,6.64 ,36 ,828,816,,777,67.99 ,24,7.15,36.7,17,5,,27/10/2015,10.65 ,12720,2427,4.39 ,0.0566 ,6.64,36.4,828,816,,786,67.61 ,42 ,7.38,36,17,5
28/10/2015,7.48 ,12000,1807,4.14 ,0.0327 ,6.37 ,36 ,459,930,,714,60.49 ,102,7.04,37,18,3,,28/10/2015,8.22 ,13200,1807,4.55 ,0.0360 ,6.37,36,459,930,,782,56.72 ,96 ,7.52,35,18,3
29/10/2015,11.87 ,15120,2277,5.21 ,0.0537 ,6.47 ,36 ,417,798,,887,61.05 ,90,6.99,36,14,1,,29/10/2015,13.19 ,16800,2277,5.79 ,0.0597 ,6.47,36,417,798,,924,59.42 ,102 ,7.27,31.5,14,1
30/10/2015,11.30 ,16080,2038,5.54 ,0.0427 ,6.52 ,35 ,358,948,,786,61.43 ,78,7.07,35,13,3,,30/10/2015,12.31 ,17520,2038,6.04 ,0.0465 ,6.52,35,358,948,,756,62.90 ,84 ,7.4,31.5,13,3
31/10/2015,10.15 ,13920,2114,4.80 ,0.0427 ,6.65 ,34 ,457,762,,689,67.41 ,108,7.28,34,15,7,,31/10/2015,11.37 ,15600,2114,5.38 ,0.0479 ,6.65,34,457,762,,819,61.26 ,132 ,7.62,29,15,7
01/11/2015,8.80 ,14640,1744,5.05 ,0.0495 ,6.57 ,29 ,152,672,,689,60.49 ,54,7.36,29,14,2,,01/11/2015,9.53 ,15840,1744,5.46 ,0.0535 ,6.57,29,152,672,,706,59.52 ,54 ,7.54,25,14,2
07/11/2015,7.92 ,14400,1594,4.97 ,0.0511 ,6.67 ,28 ,78,612,,805,49.50 ,54,7.25,27,12,10,,07/11/2015,7.92 ,14400,1594,4.97 ,0.0511 ,6.67,28,78,612,,667,58.16 ,66 ,7.39,26,12,10
08/11/2015,8.21 ,16080,1481,5.54 ,0.0671 ,6.29 ,31 ,185,564,,608,58.95 ,36,7.65,28.5,10,1,,08/11/2015,7.72 ,15120,1481,5.21 ,0.0631 ,6.29,30.8,185,564,,734,50.44 ,66 ,7.45,28,10,1
09/11/2015,11.18 ,17760,1825,6.12 ,0.0637 ,6.64 ,32 ,194,720,,826,54.74 ,60,6.96,32,13,-1,,09/11/2015,9.97 ,15840,1825,5.46 ,0.0568 ,6.64,32,194,720,,818,55.18 ,66 ,7.21,31.5,13,-1
10/11/2015,13.56 ,16800,2341,5.79 ,0.0550 ,6.54 ,33 ,189,894,,894,61.81 ,54,6.97,33.8,12,3,,10/11/2015,13.95 ,17280,2341,5.96 ,0.0566 ,6.54,33,189,894,,,100.00 ,0 ,,,12,3
11/11/2015,13.26 ,16080,2391,5.54 ,0.0571 ,6.41 ,33 ,226,900,,965,59.64 ,54,7.22,34,12,4,,11/11/2015,15.04 ,18240,2391,6.29 ,0.0648 ,6.41,32.5,226,900,,1040,56.50 ,48 ,7.42,33,12,4
12/11/2015,10.92 ,14160,2236,4.88 ,0.0513 ,6.63 ,36 ,244,714,,856,61.72 ,60,7.04,36,12,6,,12/11/2015,12.58 ,16320,2236,5.63 ,0.0591 ,6.63,36,244,714,,902,59.66 ,84 ,7.31,35,12,6
13/11/2015,10.72 ,16080,1934,5.54 ,0.0621 ,6.59 ,34 ,198,672,,805,58.38 ,42,7,35,11,7,,13/11/2015,12.48 ,18720,1934,6.46 ,0.0723 ,6.59,34,198,672,,822,57.50 ,54 ,7.29,34,11,7
14/11/2015,11.91 ,16080,2148,5.54 ,0.0566 ,6.51 ,35 ,268,708,,835,61.13 ,66,6.92,35,13,6,,14/11/2015,13.51 ,18240,2148,6.29 ,0.0642 ,6.51,35,268,708,,873,59.36 ,66 ,7.28,33,13,6
15/11/2015,12.79 ,16080,2307,5.54 ,0.0532 ,6.61 ,36 ,230,912,,864,62.55 ,48,7.21,37,15,10,,15/11/2015,14.32 ,18000,2307,6.21 ,0.0596 ,6.61,36,230,912,,910,60.55 ,78 ,7.48,35,15,10
16/11/2015,11.53 ,15120,2211,5.21 ,0.0563 ,6.68 ,37 ,382,816,,915,58.62 ,54,7.49,37,12,5,,16/11/2015,12.81 ,16800,2211,5.79 ,0.0626 ,6.68,37,382,816,,923,58.25 ,72 ,7.35,36.5,12,5
17/11/2015,14.35 ,17280,2408,5.96 ,0.0632 ,6.47 ,35 ,273,852,,797,66.90 ,30,7.07,35,12,3,,17/11/2015,16.14 ,19440,2408,6.70 ,0.0711 ,6.47,35,273,852,,776,67.77 ,36 ,7.39,34,12,3
18/11/2015,13.84 ,18720,2144,6.46 ,0.0678 ,6.64 ,35 ,422,828,,832,61.19 ,48,7.24,35.5,10,0,,18/11/2015,12.78 ,17280,2144,5.96 ,0.0626 ,6.64,35,422,828,,864,59.70 ,60 ,7.48,33.5,10,0
19/11/2015,15.10 ,19200,2280,6.62 ,0.0689 ,6.66 ,35 ,267,888,,920,59.65 ,48,7.3,35,12,3,,19/11/2015,14.15 ,18000,2280,6.21 ,0.0646 ,6.66,35,267,888,,880,61.40 ,60 ,7.45,34,12,3
20/11/2015,14.43 ,17760,2356,6.12 ,0.0637 ,6.65 ,32 ,254,888,,920,60.95 ,30,7.18,35.8,11,5,,20/11/2015,12.87 ,15840,2356,5.46 ,0.0568 ,6.65,32,254,888,,920,60.95 ,48 ,7.36,34,11,5
